ID,band,corr,mutual_info,avg_intesity
IMG#0,1,0.2438138387411429,0.3486835995276434,0.06697111526384028
IMG#0,2,0.18869034782426097,0.1947883220166331,0.02676395906726889
IMG#0,3,0.23118280986616102,0.18033275880098354,0.033607371018459606
IMG#0,4,0.3875915839486141,0.219252993451589,0.06636030713743879
IMG#0,5,0.5924843267824605,0.3619600651158683,0.1195847545566595
IMG#0,6,0.8102657923527073,0.5635552763333356,0.20710275899136354
IMG#0,7,0.814582018006621,0.5659704125608367,0.23704036052586797
IMG#0,8,0.8026469260584259,0.5624628135658493,0.21006740502679613
IMG#0,9,0.8305083910028522,0.5740873149205248,0.27047080534660306
IMG#0,10,0.8289365010141669,0.552651540532576,0.4776029862090766
IMG#0,11,0.8156774362710213,0.5656204213878134,0.34645407345615664
IMG#0,12,0.7437015055004911,0.5494405589630671,0.32031379742429694
IMG#0,13,0.8463983491032835,0.5665894297002197,-0.470318683454229
IMG#0,14,0.8867578655983467,0.5229534304435424,-0.5764506258137758
IMG#0,15,0.794187603833009,0.52503666219034,-0.2874501416952061
IMG#0,16,0.8142510399749576,0.52514236273868,-0.2952517868248438
IMG#0,17,0.8630533108910126,0.5771041226049586,-0.45438899321954995
IMG#0,18,0.876252945015655,0.5088445776374404,-0.5462613363070817
IMG#0,19,0.7735638277443713,0.5561700944190204,0.40005382867831474
IMG#1,1,0.6748163678362177,0.43096772319407783,0.1567976623167291
IMG#1,2,0.6276523529094704,0.36575824786907374,0.10835360213419697
IMG#1,3,0.7207920855498371,0.3884334651309673,0.1505865257331148
IMG#1,4,0.7549743545981377,0.4293873896042384,0.17570658337489348
IMG#1,5,0.7767147585594915,0.4510093251694396,0.2107759402970593
IMG#1,6,0.7772204425560738,0.45627157223145476,0.23763331095270498
IMG#1,7,0.778211514767104,0.45647362443742545,0.23722351010761433
IMG#1,8,0.7590095067554098,0.43901684246817485,0.2091504533912073
IMG#1,9,0.7770509842815294,0.457049582211709,0.24798533159951736
IMG#1,10,0.7816571006421804,0.453679687985709,0.3173689742463563
IMG#1,11,0.7881048090591722,0.4584640025652227,0.296774065517348
